TRACKING_LOG STARFRUIT FLAT [5026]
TRACKING_LOG STARFRUIT FLAT [5026, 5028]
TRACKING_LOG STARFRUIT FLAT [5026, 5028, 5024]
TRACKING_LOG STARFRUIT FLAT [5026, 5028, 5024, 5025]
TRACKING_LOG STARFRUIT FLAT [5026, 5028, 5024, 5025, 5025]
TRACKING_LOG STARFRUIT FLAT [5026, 5028, 5024, 5025, 5025, 5027]
TRACKING_LOG STARFRUIT FLAT [5019, 5019, 5019, 5019, 5020, 5020, 5019]
TRACKING_LOG STARFRUIT FLAT [5019, 5019, 5019, 5020, 5020, 5019, 5019]
TRACKING_LOG STARFRUIT FLAT [5019, 5019, 5020, 5020, 5019, 5019, 5020]
TRACKING_LOG STARFRUIT FLAT [5019, 5020, 5020, 5019, 5019, 5020, 5019]
TRACKING_LOG STARFRUIT FLAT [5020, 5020, 5019, 5019, 5020, 5019, 5019]
TRACKING_LOG STARFRUIT FLAT [5020, 5019, 5019, 5020, 5019, 5019, 5019]
TRACKING_LOG STARFRUIT FLAT [5019, 5019, 5020, 5019, 5019, 5019, 5019]
TRACKING_LOG STARFRUIT FLAT [5019, 5020, 5019, 5019, 5019, 5019, 5020]
TRACKING_LOG STARFRUIT FLAT [5020, 5019, 5019, 5019, 5019, 5020, 5020]
TRACKING_LOG STARFRUIT FLAT [5019, 5019, 5019, 5019, 5020, 5020, 5020]
TRACKING_LOG STARFRUIT UP [5019, 5019, 5019, 5020, 5020, 5020, 5021]
TRACKING_LOG STARFRUIT FLAT [5019, 5019, 5020, 5020, 5020, 5021, 5020]
TRACKING_LOG STARFRUIT FLAT [5019, 5020, 5020, 5020, 5021, 5020, 5020]
TRACKING_LOG STARFRUIT FLAT [5020, 5020, 5020, 5021, 5020, 5020, 5021]
TRACKING_LOG STARFRUIT FLAT [5020, 5020, 5021, 5020, 5020, 5021, 5020]
TRACKING_LOG STARFRUIT FLAT [5020, 5021, 5020, 5020, 5021, 5020, 5021]
TRACKING_LOG STARFRUIT FLAT [5021, 5020, 5020, 5021, 5020, 5021, 5020]
TRACKING_LOG STARFRUIT FLAT [5020, 5020, 5021, 5020, 5021, 5020, 5020]
TRACKING_LOG STARFRUIT FLAT [5020, 5021, 5020, 5021, 5020, 5020, 5020]
TRACKING_LOG STARFRUIT FLAT [5021, 5020, 5021, 5020, 5020, 5020, 5020]
TRACKING_LOG STARFRUIT FLAT [5020, 5021, 5020, 5020, 5020, 5020, 5021]
TRACKING_LOG STARFRUIT FLAT [5021, 5020, 5020, 5020, 5020, 5021, 5021]
TRACKING_LOG STARFRUIT UP [5020, 5020, 5020, 5020, 5021, 5021, 5024]
TRACKING_LOG STARFRUIT UP [5020, 5020, 5020, 5021, 5021, 5024, 5024]
TRACKING_LOG STARFRUIT FLAT [5020, 5020, 5021, 5021, 5024, 5024, 5021]
TRACKING_LOG STARFRUIT FLAT [5020, 5021, 5021, 5024, 5024, 5021, 5021]
TRACKING_LOG STARFRUIT FLAT [5021, 5021, 5024, 5024, 5021, 5021, 5022]
TRACKING_LOG STARFRUIT FLAT [5021, 5024, 5024, 5021, 5021, 5022, 5022]
TRACKING_LOG STARFRUIT DOWN [5024, 5024, 5021, 5021, 5022, 5022, 5022]
TRACKING_LOG STARFRUIT DOWN [5024, 5021, 5021, 5022, 5022, 5022, 5022]
TRACKING_LOG STARFRUIT UP [5021, 5021, 5022, 5022, 5022, 5022, 5025]
TRACKING_LOG STARFRUIT FLAT [5021, 5022, 5022, 5022, 5022, 5025, 5022]
TRACKING_LOG STARFRUIT FLAT [5022, 5022, 5022, 5022, 5025, 5022, 5023]
TRACKING_LOG STARFRUIT UP [5022, 5022, 5022, 5025, 5022, 5023, 5024]
TRACKING_LOG STARFRUIT UP [5022, 5022, 5025, 5022, 5023, 5024, 5024]
TRACKING_LOG STARFRUIT UP [5022, 5025, 5022, 5023, 5024, 5024, 5024]
TRACKING_LOG STARFRUIT FLAT [5025, 5022, 5023, 5024, 5024, 5024, 5025]
TRACKING_LOG STARFRUIT UP [5022, 5023, 5024, 5024, 5024, 5025, 5025]
TRACKING_LOG STARFRUIT FLAT [5023, 5024, 5024, 5024, 5025, 5025, 5024]
TRACKING_LOG STARFRUIT FLAT [5024, 5024, 5024, 5025, 5025, 5024, 5025]
TRACKING_LOG STARFRUIT FLAT [5024, 5024, 5025, 5025, 5024, 5025, 5025]
TRACKING_LOG STARFRUIT UP [5024, 5025, 5025, 5024, 5025, 5025, 5026]
TRACKING_LOG STARFRUIT FLAT [5025, 5025, 5024, 5025, 5025, 5026, 5025]
TRACKING_LOG STARFRUIT FLAT [5025, 5024, 5025, 5025, 5026, 5025, 5025]
TRACKING_LOG STARFRUIT FLAT [5024, 5025, 5025, 5026, 5025, 5025, 5025]
TRACKING_LOG STARFRUIT FLAT [5025, 5025, 5026, 5025, 5025, 5025, 5026]
TRACKING_LOG STARFRUIT UP [5025, 5026, 5025, 5025, 5025, 5026, 5028]
TRACKING_LOG STARFRUIT UP [5026, 5025, 5025, 5025, 5026, 5028, 5028]
TRACKING_LOG STARFRUIT FLAT [5025, 5025, 5025, 5026, 5028, 5028, 5024]
TRACKING_LOG STARFRUIT FLAT [5025, 5025, 5026, 5028, 5028, 5024, 5025]
TRACKING_LOG STARFRUIT FLAT [5025, 5026, 5028, 5028, 5024, 5025, 5025]
TRACKING_LOG STARFRUIT FLAT [5026, 5028, 5028, 5024, 5025, 5025, 5025]
TRACKING_LOG STARFRUIT DOWN [5028, 5028, 5024, 5025, 5025, 5025, 5025]
TRACKING_LOG STARFRUIT DOWN [5028, 5024, 5025, 5025, 5025, 5025, 5025]
TRACKING_LOG STARFRUIT FLAT [5024, 5025, 5025, 5025, 5025, 5025, 5024]
TRACKING_LOG STARFRUIT FLAT [5025, 5025, 5025, 5025, 5025, 5024, 5025]
TRACKING_LOG STARFRUIT FLAT [5025, 5025, 5025, 5025, 5024, 5025, 5025]
TRACKING_LOG STARFRUIT FLAT [5025, 5025, 5025, 5024, 5025, 5025, 5025]
TRACKING_LOG STARFRUIT FLAT [5025, 5025, 5024, 5025, 5025, 5025, 5024]
TRACKING_LOG STARFRUIT FLAT [5025, 5024, 5025, 5025, 5025, 5024, 5024]
TRACKING_LOG STARFRUIT FLAT [5024, 5025, 5025, 5025, 5024, 5024, 5024]
TRACKING_LOG STARFRUIT FLAT [5025, 5025, 5025, 5024, 5024, 5024, 5024]
TRACKING_LOG STARFRUIT DOWN [5025, 5025, 5024, 5024, 5024, 5024, 5023]
TRACKING_LOG STARFRUIT DOWN [5025, 5024, 5024, 5024, 5024, 5023, 5023]
TRACKING_LOG STARFRUIT DOWN [5024, 5024, 5024, 5024, 5023, 5023, 5022]
TRACKING_LOG STARFRUIT DOWN [5024, 5024, 5024, 5023, 5023, 5022, 5022]
TRACKING_LOG STARFRUIT DOWN [5024, 5024, 5023, 5023, 5022, 5022, 5022]
TRACKING_LOG STARFRUIT FLAT [5024, 5023, 5023, 5022, 5022, 5022, 5023]
TRACKING_LOG STARFRUIT FLAT [5023, 5023, 5022, 5022, 5022, 5023, 5023]
TRACKING_LOG STARFRUIT FLAT [5023, 5022, 5022, 5022, 5023, 5023, 5022]
TRACKING_LOG STARFRUIT FLAT [5022, 5022, 5022, 5023, 5023, 5022, 5022]
TRACKING_LOG STARFRUIT FLAT [5022, 5022, 5023, 5023, 5022, 5022, 5022]
TRACKING_LOG STARFRUIT FLAT [5022, 5023, 5023, 5022, 5022, 5022, 5022]
TRACKING_LOG STARFRUIT UP [5023, 5023, 5022, 5022, 5022, 5022, 5025]
TRACKING_LOG STARFRUIT FLAT [5023, 5022, 5022, 5022, 5022, 5025, 5022]
TRACKING_LOG STARFRUIT FLAT [5022, 5022, 5022, 5022, 5025, 5022, 5021]
TRACKING_LOG STARFRUIT FLAT [5022, 5022, 5022, 5025, 5022, 5021, 5022]
TRACKING_LOG STARFRUIT FLAT [5022, 5022, 5025, 5022, 5021, 5022, 5022]
TRACKING_LOG STARFRUIT FLAT [5022, 5025, 5022, 5021, 5022, 5022, 5022]
TRACKING_LOG STARFRUIT DOWN [5025, 5022, 5021, 5022, 5022, 5022, 5022]
TRACKING_LOG STARFRUIT FLAT [5022, 5021, 5022, 5022, 5022, 5022, 5022]
TRACKING_LOG STARFRUIT FLAT [5021, 5022, 5022, 5022, 5022, 5022, 5022]
TRACKING_LOG STARFRUIT FLAT [5022, 5022, 5022, 5022, 5022, 5022, 5022]
TRACKING_LOG STARFRUIT FLAT [5022, 5022, 5022, 5022, 5022, 5022, 5022]
TRACKING_LOG STARFRUIT FLAT [5022, 5022, 5022, 5022, 5022, 5022, 5022]
TRACKING_LOG STARFRUIT FLAT [5022, 5022, 5022, 5022, 5022, 5022, 5022]
TRACKING_LOG STARFRUIT UP [5022, 5022, 5022, 5022, 5022, 5022, 5024]
TRACKING_LOG STARFRUIT UP [5022, 5022, 5022, 5022, 5022, 5024, 5025]
TRACKING_LOG STARFRUIT FLAT [5022, 5022, 5022, 5022, 5024, 5025, 5022]
TRACKING_LOG STARFRUIT FLAT [5022, 5022, 5022, 5024, 5025, 5022, 5022]
TRACKING_LOG STARFRUIT UP [5022, 5022, 5024, 5025, 5022, 5022, 5025]
TRACKING_LOG STARFRUIT FLAT [5022, 5024, 5025, 5022, 5022, 5025, 5023]
TRACKING_LOG STARFRUIT FLAT [5024, 5025, 5022, 5022, 5025, 5023, 5023]
TRACKING_LOG STARFRUIT FLAT [5025, 5022, 5022, 5025, 5023, 5023, 5026]
TRACKING_LOG STARFRUIT UP [5022, 5022, 5025, 5023, 5023, 5026, 5026]
TRACKING_LOG STARFRUIT FLAT [5022, 5025, 5023, 5023, 5026, 5026, 5023]
TRACKING_LOG STARFRUIT FLAT [5025, 5023, 5023, 5026, 5026, 5023, 5024]
TRACKING_LOG STARFRUIT FLAT [5023, 5023, 5026, 5026, 5023, 5024, 5023]
TRACKING_LOG STARFRUIT UP [5023, 5026, 5026, 5023, 5024, 5023, 5025]
TRACKING_LOG STARFRUIT DOWN [5026, 5026, 5023, 5024, 5023, 5025, 5023]
TRACKING_LOG STARFRUIT DOWN [5026, 5023, 5024, 5023, 5025, 5023, 5023]
TRACKING_LOG STARFRUIT FLAT [5023, 5024, 5023, 5025, 5023, 5023, 5023]
TRACKING_LOG STARFRUIT FLAT [5024, 5023, 5025, 5023, 5023, 5023, 5023]
TRACKING_LOG STARFRUIT FLAT [5023, 5025, 5023, 5023, 5023, 5023, 5023]
TRACKING_LOG STARFRUIT DOWN [5025, 5023, 5023, 5023, 5023, 5023, 5023]
TRACKING_LOG STARFRUIT FLAT [5023, 5023, 5023, 5023, 5023, 5023, 5022]
TRACKING_LOG STARFRUIT DOWN [5023, 5023, 5023, 5023, 5023, 5022, 5021]
TRACKING_LOG STARFRUIT FLAT [5023, 5023, 5023, 5023, 5022, 5021, 5022]
TRACKING_LOG STARFRUIT FLAT [5023, 5023, 5023, 5022, 5021, 5022, 5024]
TRACKING_LOG STARFRUIT FLAT [5023, 5023, 5022, 5021, 5022, 5024, 5022]
TRACKING_LOG STARFRUIT UP [5023, 5022, 5021, 5022, 5024, 5022, 5025]
TRACKING_LOG STARFRUIT FLAT [5022, 5021, 5022, 5024, 5022, 5025, 5022]
TRACKING_LOG STARFRUIT FLAT [5021, 5022, 5024, 5022, 5025, 5022, 5021]
TRACKING_LOG STARFRUIT UP [5022, 5024, 5022, 5025, 5022, 5021, 5024]
TRACKING_LOG STARFRUIT DOWN [5024, 5022, 5025, 5022, 5021, 5024, 5022]
TRACKING_LOG STARFRUIT FLAT [5022, 5025, 5022, 5021, 5024, 5022, 5022]
TRACKING_LOG STARFRUIT DOWN [5025, 5022, 5021, 5024, 5022, 5022, 5022]
TRACKING_LOG STARFRUIT FLAT [5022, 5021, 5024, 5022, 5022, 5022, 5022]
TRACKING_LOG STARFRUIT FLAT [5021, 5024, 5022, 5022, 5022, 5022, 5022]
TRACKING_LOG STARFRUIT DOWN [5024, 5022, 5022, 5022, 5022, 5022, 5022]
TRACKING_LOG STARFRUIT FLAT [5022, 5022, 5022, 5022, 5022, 5022, 5022]
TRACKING_LOG STARFRUIT FLAT [5022, 5022, 5022, 5022, 5022, 5022, 5022]
TRACKING_LOG STARFRUIT FLAT [5022, 5022, 5022, 5022, 5022, 5022, 5023]
TRACKING_LOG STARFRUIT FLAT [5022, 5022, 5022, 5022, 5022, 5023, 5022]
TRACKING_LOG STARFRUIT FLAT [5022, 5022, 5022, 5022, 5023, 5022, 5023]
TRACKING_LOG STARFRUIT UP [5022, 5022, 5022, 5023, 5022, 5023, 5024]
TRACKING_LOG STARFRUIT UP [5022, 5022, 5023, 5022, 5023, 5024, 5026]
TRACKING_LOG STARFRUIT FLAT [5022, 5023, 5022, 5023, 5024, 5026, 5023]
TRACKING_LOG STARFRUIT UP [5023, 5022, 5023, 5024, 5026, 5023, 5026]
TRACKING_LOG STARFRUIT FLAT [5022, 5023, 5024, 5026, 5023, 5026, 5022]
TRACKING_LOG STARFRUIT FLAT [5023, 5024, 5026, 5023, 5026, 5022, 5023]
TRACKING_LOG STARFRUIT FLAT [5024, 5026, 5023, 5026, 5022, 5023, 5025]
TRACKING_LOG STARFRUIT DOWN [5026, 5023, 5026, 5022, 5023, 5025, 5023]
TRACKING_LOG STARFRUIT FLAT [5023, 5026, 5022, 5023, 5025, 5023, 5022]
TRACKING_LOG STARFRUIT DOWN [5026, 5022, 5023, 5025, 5023, 5022, 5022]
TRACKING_LOG STARFRUIT FLAT [5022, 5023, 5025, 5023, 5022, 5022, 5022]
TRACKING_LOG STARFRUIT FLAT [5023, 5025, 5023, 5022, 5022, 5022, 5022]
TRACKING_LOG STARFRUIT DOWN [5025, 5023, 5022, 5022, 5022, 5022, 5022]
TRACKING_LOG STARFRUIT FLAT [5023, 5022, 5022, 5022, 5022, 5022, 5022]
TRACKING_LOG STARFRUIT FLAT [5022, 5022, 5022, 5022, 5022, 5022, 5022]
TRACKING_LOG STARFRUIT FLAT [5022, 5022, 5022, 5022, 5022, 5022, 5022]
TRACKING_LOG STARFRUIT FLAT [5022, 5022, 5022, 5022, 5022, 5022, 5023]
TRACKING_LOG STARFRUIT FLAT [5022, 5022, 5022, 5022, 5022, 5023, 5022]
TRACKING_LOG STARFRUIT FLAT [5022, 5022, 5022, 5022, 5023, 5022, 5022]
TRACKING_LOG STARFRUIT FLAT [5022, 5022, 5022, 5023, 5022, 5022, 5022]
TRACKING_LOG STARFRUIT FLAT [5022, 5022, 5023, 5022, 5022, 5022, 5022]
TRACKING_LOG STARFRUIT FLAT [5022, 5023, 5022, 5022, 5022, 5022, 5023]
TRACKING_LOG STARFRUIT FLAT [5023, 5022, 5022, 5022, 5022, 5023, 5023]
TRACKING_LOG STARFRUIT FLAT [5022, 5022, 5022, 5022, 5023, 5023, 5023]
TRACKING_LOG STARFRUIT FLAT [5022, 5022, 5022, 5023, 5023, 5023, 5022]
TRACKING_LOG STARFRUIT FLAT [5022, 5022, 5023, 5023, 5023, 5022, 5022]
TRACKING_LOG STARFRUIT FLAT [5022, 5023, 5023, 5023, 5022, 5022, 5022]
TRACKING_LOG STARFRUIT FLAT [5023, 5023, 5023, 5022, 5022, 5022, 5024]
TRACKING_LOG STARFRUIT FLAT [5023, 5023, 5022, 5022, 5022, 5024, 5022]
TRACKING_LOG STARFRUIT FLAT [5023, 5022, 5022, 5022, 5024, 5022, 5022]
TRACKING_LOG STARFRUIT FLAT [5022, 5022, 5022, 5024, 5022, 5022, 5023]
TRACKING_LOG STARFRUIT FLAT [5022, 5022, 5024, 5022, 5022, 5023, 5023]
TRACKING_LOG STARFRUIT UP [5022, 5024, 5022, 5022, 5023, 5023, 5026]
TRACKING_LOG STARFRUIT FLAT [5024, 5022, 5022, 5023, 5023, 5026, 5024]
TRACKING_LOG STARFRUIT UP [5022, 5022, 5023, 5023, 5026, 5024, 5024]
TRACKING_LOG STARFRUIT UP [5022, 5023, 5023, 5026, 5024, 5024, 5025]
TRACKING_LOG STARFRUIT UP [5023, 5023, 5026, 5024, 5024, 5025, 5027]
TRACKING_LOG STARFRUIT UP [5023, 5026, 5024, 5024, 5025, 5027, 5025]
TRACKING_LOG STARFRUIT FLAT [5026, 5024, 5024, 5025, 5027, 5025, 5025]
TRACKING_LOG STARFRUIT FLAT [5024, 5024, 5025, 5027, 5025, 5025, 5025]
TRACKING_LOG STARFRUIT FLAT [5024, 5025, 5027, 5025, 5025, 5025, 5025]
TRACKING_LOG STARFRUIT FLAT [5025, 5027, 5025, 5025, 5025, 5025, 5025]
TRACKING_LOG STARFRUIT DOWN [5027, 5025, 5025, 5025, 5025, 5025, 5025]
TRACKING_LOG STARFRUIT UP [5025, 5025, 5025, 5025, 5025, 5025, 5027]
TRACKING_LOG STARFRUIT FLAT [5025, 5025, 5025, 5025, 5025, 5027, 5026]
TRACKING_LOG STARFRUIT FLAT [5025, 5025, 5025, 5025, 5027, 5026, 5024]
TRACKING_LOG STARFRUIT UP [5025, 5025, 5025, 5027, 5026, 5024, 5027]
TRACKING_LOG STARFRUIT FLAT [5025, 5025, 5027, 5026, 5024, 5027, 5025]
TRACKING_LOG STARFRUIT UP [5025, 5027, 5026, 5024, 5027, 5025, 5027]
TRACKING_LOG STARFRUIT FLAT [5027, 5026, 5024, 5027, 5025, 5027, 5026]
TRACKING_LOG STARFRUIT DOWN [5026, 5024, 5027, 5025, 5027, 5026, 5024]
TRACKING_LOG STARFRUIT FLAT [5024, 5027, 5025, 5027, 5026, 5024, 5024]
TRACKING_LOG STARFRUIT DOWN [5027, 5025, 5027, 5026, 5024, 5024, 5024]
TRACKING_LOG STARFRUIT FLAT [5025, 5027, 5026, 5024, 5024, 5024, 5025]
TRACKING_LOG STARFRUIT DOWN [5027, 5026, 5024, 5024, 5024, 5025, 5024]
TRACKING_LOG STARFRUIT FLAT [5026, 5024, 5024, 5024, 5025, 5024, 5025]
TRACKING_LOG STARFRUIT UP [5024, 5024, 5024, 5025, 5024, 5025, 5028]
TRACKING_LOG STARFRUIT FLAT [5024, 5024, 5025, 5024, 5025, 5028, 5025]
TRACKING_LOG STARFRUIT UP [5024, 5025, 5024, 5025, 5028, 5025, 5026]
TRACKING_LOG STARFRUIT FLAT [5025, 5024, 5025, 5028, 5025, 5026, 5026]
TRACKING_LOG STARFRUIT UP [5024, 5025, 5028, 5025, 5026, 5026, 5026]
TRACKING_LOG STARFRUIT FLAT [5025, 5028, 5025, 5026, 5026, 5026, 5026]
TRACKING_LOG STARFRUIT DOWN [5028, 5025, 5026, 5026, 5026, 5026, 5026]
TRACKING_LOG STARFRUIT FLAT [5025, 5026, 5026, 5026, 5026, 5026, 5026]
TRACKING_LOG STARFRUIT FLAT [5026, 5026, 5026, 5026, 5026, 5026, 5027]
TRACKING_LOG STARFRUIT FLAT [5026, 5026, 5026, 5026, 5026, 5027, 5026]
TRACKING_LOG STARFRUIT FLAT [5026, 5026, 5026, 5026, 5027, 5026, 5027]
TRACKING_LOG STARFRUIT FLAT [5026, 5026, 5026, 5027, 5026, 5027, 5026]
TRACKING_LOG STARFRUIT FLAT [5026, 5026, 5027, 5026, 5027, 5026, 5026]
TRACKING_LOG STARFRUIT FLAT [5026, 5027, 5026, 5027, 5026, 5026, 5025]
TRACKING_LOG STARFRUIT DOWN [5027, 5026, 5027, 5026, 5026, 5025, 5025]
TRACKING_LOG STARFRUIT FLAT [5026, 5027, 5026, 5026, 5025, 5025, 5026]
TRACKING_LOG STARFRUIT DOWN [5027, 5026, 5026, 5025, 5025, 5026, 5025]
TRACKING_LOG STARFRUIT UP [5026, 5026, 5025, 5025, 5026, 5025, 5028]
TRACKING_LOG STARFRUIT UP [5026, 5025, 5025, 5026, 5025, 5028, 5028]
TRACKING_LOG STARFRUIT FLAT [5025, 5025, 5026, 5025, 5028, 5028, 5026]
TRACKING_LOG STARFRUIT UP [5025, 5026, 5025, 5028, 5028, 5026, 5029]
TRACKING_LOG STARFRUIT FLAT [5026, 5025, 5028, 5028, 5026, 5029, 5025]
TRACKING_LOG STARFRUIT UP [5025, 5028, 5028, 5026, 5029, 5025, 5028]
TRACKING_LOG STARFRUIT DOWN [5028, 5028, 5026, 5029, 5025, 5028, 5026]
TRACKING_LOG STARFRUIT DOWN [5028, 5026, 5029, 5025, 5028, 5026, 5025]
TRACKING_LOG STARFRUIT FLAT [5026, 5029, 5025, 5028, 5026, 5025, 5025]
TRACKING_LOG STARFRUIT DOWN [5029, 5025, 5028, 5026, 5025, 5025, 5026]
TRACKING_LOG STARFRUIT UP [5025, 5028, 5026, 5025, 5025, 5026, 5027]
TRACKING_LOG STARFRUIT DOWN [5028, 5026, 5025, 5025, 5026, 5027, 5026]
TRACKING_LOG STARFRUIT FLAT [5026, 5025, 5025, 5026, 5027, 5026, 5026]
TRACKING_LOG STARFRUIT FLAT [5025, 5025, 5026, 5027, 5026, 5026, 5025]
TRACKING_LOG STARFRUIT FLAT [5025, 5026, 5027, 5026, 5026, 5025, 5025]
TRACKING_LOG STARFRUIT FLAT [5026, 5027, 5026, 5026, 5025, 5025, 5025]
TRACKING_LOG STARFRUIT FLAT [5027, 5026, 5026, 5025, 5025, 5025, 5028]
TRACKING_LOG STARFRUIT FLAT [5026, 5026, 5025, 5025, 5025, 5028, 5025]
TRACKING_LOG STARFRUIT FLAT [5026, 5025, 5025, 5025, 5028, 5025, 5027]
TRACKING_LOG STARFRUIT FLAT [5025, 5025, 5025, 5028, 5025, 5027, 5025]
TRACKING_LOG STARFRUIT FLAT [5025, 5025, 5028, 5025, 5027, 5025, 5024]
TRACKING_LOG STARFRUIT UP [5025, 5028, 5025, 5027, 5025, 5024, 5027]
TRACKING_LOG STARFRUIT DOWN [5028, 5025, 5027, 5025, 5024, 5027, 5025]
TRACKING_LOG STARFRUIT FLAT [5025, 5027, 5025, 5024, 5027, 5025, 5025]
TRACKING_LOG STARFRUIT DOWN [5027, 5025, 5024, 5027, 5025, 5025, 5025]
TRACKING_LOG STARFRUIT FLAT [5025, 5024, 5027, 5025, 5025, 5025, 5025]
TRACKING_LOG STARFRUIT FLAT [5024, 5027, 5025, 5025, 5025, 5025, 5025]
TRACKING_LOG STARFRUIT FLAT [5027, 5025, 5025, 5025, 5025, 5025, 5027]
TRACKING_LOG STARFRUIT FLAT [5025, 5025, 5025, 5025, 5025, 5027, 5024]
TRACKING_LOG STARFRUIT FLAT [5025, 5025, 5025, 5025, 5027, 5024, 5024]
TRACKING_LOG STARFRUIT DOWN [5025, 5025, 5025, 5027, 5024, 5024, 5023]
TRACKING_LOG STARFRUIT DOWN [5025, 5025, 5027, 5024, 5024, 5023, 5023]
TRACKING_LOG STARFRUIT DOWN [5025, 5027, 5024, 5024, 5023, 5023, 5023]
TRACKING_LOG STARFRUIT DOWN [5027, 5024, 5024, 5023, 5023, 5023, 5022]
TRACKING_LOG STARFRUIT DOWN [5024, 5024, 5023, 5023, 5023, 5022, 5021]
TRACKING_LOG STARFRUIT DOWN [5024, 5023, 5023, 5023, 5022, 5021, 5022]
TRACKING_LOG STARFRUIT DOWN [5023, 5023, 5023, 5022, 5021, 5022, 5021]
TRACKING_LOG STARFRUIT FLAT [5023, 5023, 5022, 5021, 5022, 5021, 5022]
TRACKING_LOG STARFRUIT FLAT [5023, 5022, 5021, 5022, 5021, 5022, 5022]
TRACKING_LOG STARFRUIT FLAT [5022, 5021, 5022, 5021, 5022, 5022, 5021]
TRACKING_LOG STARFRUIT FLAT [5021, 5022, 5021, 5022, 5022, 5021, 5022]
TRACKING_LOG STARFRUIT FLAT [5022, 5021, 5022, 5022, 5021, 5022, 5021]
TRACKING_LOG STARFRUIT FLAT [5021, 5022, 5022, 5021, 5022, 5021, 5021]
TRACKING_LOG STARFRUIT UP [5022, 5022, 5021, 5022, 5021, 5021, 5024]
TRACKING_LOG STARFRUIT FLAT [5022, 5021, 5022, 5021, 5021, 5024, 5021]
TRACKING_LOG STARFRUIT FLAT [5021, 5022, 5021, 5021, 5024, 5021, 5022]
TRACKING_LOG STARFRUIT FLAT [5022, 5021, 5021, 5024, 5021, 5022, 5022]
TRACKING_LOG STARFRUIT FLAT [5021, 5021, 5024, 5021, 5022, 5022, 5022]
TRACKING_LOG STARFRUIT FLAT [5021, 5024, 5021, 5022, 5022, 5022, 5022]
TRACKING_LOG STARFRUIT DOWN [5024, 5021, 5022, 5022, 5022, 5022, 5021]
TRACKING_LOG STARFRUIT FLAT [5021, 5022, 5022, 5022, 5022, 5021, 5021]
TRACKING_LOG STARFRUIT FLAT [5022, 5022, 5022, 5022, 5021, 5021, 5021]
TRACKING_LOG STARFRUIT FLAT [5022, 5022, 5022, 5021, 5021, 5021, 5021]
TRACKING_LOG STARFRUIT FLAT [5022, 5022, 5021, 5021, 5021, 5021, 5022]
TRACKING_LOG STARFRUIT FLAT [5022, 5021, 5021, 5021, 5021, 5022, 5021]
TRACKING_LOG STARFRUIT FLAT [5021, 5021, 5021, 5021, 5022, 5021, 5022]
TRACKING_LOG STARFRUIT FLAT [5021, 5021, 5021, 5022, 5021, 5022, 5021]
TRACKING_LOG STARFRUIT FLAT [5021, 5021, 5022, 5021, 5022, 5021, 5021]
TRACKING_LOG STARFRUIT FLAT [5021, 5022, 5021, 5022, 5021, 5021, 5021]
TRACKING_LOG STARFRUIT FLAT [5022, 5021, 5022, 5021, 5021, 5021, 5022]
TRACKING_LOG STARFRUIT UP [5021, 5022, 5021, 5021, 5021, 5022, 5025]
TRACKING_LOG STARFRUIT UP [5022, 5021, 5021, 5021, 5022, 5025, 5024]
TRACKING_LOG STARFRUIT FLAT [5021, 5021, 5021, 5022, 5025, 5024, 5021]
TRACKING_LOG STARFRUIT FLAT [5021, 5021, 5022, 5025, 5024, 5021, 5021]
TRACKING_LOG STARFRUIT FLAT [5021, 5022, 5025, 5024, 5021, 5021, 5022]
TRACKING_LOG STARFRUIT FLAT [5022, 5025, 5024, 5021, 5021, 5022, 5022]
TRACKING_LOG STARFRUIT DOWN [5025, 5024, 5021, 5021, 5022, 5022, 5022]
TRACKING_LOG STARFRUIT DOWN [5024, 5021, 5021, 5022, 5022, 5022, 5021]
TRACKING_LOG STARFRUIT FLAT [5021, 5021, 5022, 5022, 5022, 5021, 5021]
TRACKING_LOG STARFRUIT FLAT [5021, 5022, 5022, 5022, 5021, 5021, 5022]
TRACKING_LOG STARFRUIT FLAT [5022, 5022, 5022, 5021, 5021, 5022, 5021]
TRACKING_LOG STARFRUIT FLAT [5022, 5022, 5021, 5021, 5022, 5021, 5022]
TRACKING_LOG STARFRUIT FLAT [5022, 5021, 5021, 5022, 5021, 5022, 5022]
TRACKING_LOG STARFRUIT FLAT [5021, 5021, 5022, 5021, 5022, 5022, 5021]
TRACKING_LOG STARFRUIT FLAT [5021, 5022, 5021, 5022, 5022, 5021, 5021]
TRACKING_LOG STARFRUIT FLAT [5022, 5021, 5022, 5022, 5021, 5021, 5021]
TRACKING_LOG STARFRUIT UP [5021, 5022, 5022, 5021, 5021, 5021, 5023]
TRACKING_LOG STARFRUIT FLAT [5022, 5022, 5021, 5021, 5021, 5023, 5023]
TRACKING_LOG STARFRUIT DOWN [5022, 5021, 5021, 5021, 5023, 5023, 5020]
TRACKING_LOG STARFRUIT FLAT [5021, 5021, 5021, 5023, 5023, 5020, 5021]
TRACKING_LOG STARFRUIT FLAT [5021, 5021, 5023, 5023, 5020, 5021, 5020]
TRACKING_LOG STARFRUIT FLAT [5021, 5023, 5023, 5020, 5021, 5020, 5020]
TRACKING_LOG STARFRUIT DOWN [5023, 5023, 5020, 5021, 5020, 5020, 5020]
TRACKING_LOG STARFRUIT DOWN [5023, 5020, 5021, 5020, 5020, 5020, 5020]
TRACKING_LOG STARFRUIT FLAT [5020, 5021, 5020, 5020, 5020, 5020, 5021]
